Accuracy,Ratio,model,datasets
0.761163746202503,0.65120633448852,SPACEL_NicheCompass,MERFISH
0.758436535080041,0.658008708138248,SPACEL_PRECAST,MERFISH
0.751747193359119,0.654333476512315,SPACEL_Spado,MERFISH
0.756252967590354,0.662286931978438,SPACEL_SPIRAL,MERFISH
0.762106399966095,0.646301067393681,SPACEL_STAIG,MERFISH
0.761594553703227,0.662372667303374,SPACEL_STAligner,MERFISH
0.665034458023878,0.924698081189027,PASTE,MERFISH_Brain_S3
0.115213184921233,11.9294803446486,STalign,MERFISH_Brain_S3
0.160654667502846,1.3770033631265,Banksy,MERFISH_Brain_S3
0.391790315909296,1.14174099528518,CellCharter,MERFISH_Brain_S3
0.14118193036104,1.46554733377639,CN,MERFISH_Brain_S3
0.557717751473783,0.991959393250301,GraphST,MERFISH_Brain_S3
0.165806955520783,1.13962070373497,MENDER,MERFISH_Brain_S3
0.144463023723472,1.4161475209085,NicheCompass,MERFISH_Brain_S3
0.111978746063355,1.31495452949481,PRECAST,MERFISH_Brain_S3
0.115213184921233,11.9294803446486,Spado,MERFISH_Brain_S3
0.27367204060282,1.12164245822533,SPIRAL,MERFISH_Brain_S3
0.77306843652236,0.961533638835916,STAIG,MERFISH_Brain_S3
0.68086293354774,0.964273253449282,STAligner,MERFISH_Brain_S3
0.842429884070813,0.925821894325416,SPACEL_Banksy,MERFISH_Brain_S3
0.842396201825927,0.924276876853139,SPACEL_CellCharter,MERFISH_Brain_S3
0.838858001415975,0.916855805783564,SPACEL_CN,MERFISH_Brain_S3
0.841638930593644,0.927227892917245,SPACEL_GraphST,MERFISH_Brain_S3
0.841347036143029,0.913925908170152,SPACEL_MENDER,MERFISH_Brain_S3
0.841859777772522,0.921612101315284,SPACEL_NicheCompass,MERFISH_Brain_S3
0.832026243465441,0.90738999965466,SPACEL_PRECAST,MERFISH_Brain_S3
0.741504686071445,1.25475842036009,SPACEL_Spado,MERFISH_Brain_S3
0.838982277508223,0.909055929448191,SPACEL_SPIRAL,MERFISH_Brain_S3
0.841270068265315,0.920491561421369,SPACEL_STAIG,MERFISH_Brain_S3
0.842859793849904,0.925119408534213,SPACEL_STAligner,MERFISH_Brain_S3
0.96150857789125,0.591104409692826,PASTE,BaristaSeq
0.970814521776613,0.589850240862982,STalign,BaristaSeq
0.174864534559867,3.02933489248775,Banksy,BaristaSeq
0.825714735913933,0.781953605032522,CellCharter,BaristaSeq
0.555686529148432,1.5038355296114,CN,BaristaSeq
0.979446988163685,0.592718919018783,GraphST,BaristaSeq
0.789945929353021,1.81636411947153,MENDER,BaristaSeq
0.51508075396782,0.850244876935764,NicheCompass,BaristaSeq
0.129567310284231,1.76817314130809,PRECAST,BaristaSeq
0.201527769398647,2.19948441871619,Spado,BaristaSeq
0.640894432553205,1.12963658519213,SPIRAL,BaristaSeq
0.796947742285418,0.804716966722038,STAIG,BaristaSeq
0.450913900532317,0.915118681808445,STAligner,BaristaSeq
0.840083881138444,0.719790750174853,SPACEL_Banksy,BaristaSeq
0.850116054465498,0.805107942338643,SPACEL_CellCharter,BaristaSeq
0.843419727577502,0.651143524340625,SPACEL_CN,BaristaSeq
0.980459078433316,0.585159655755014,SPACEL_GraphST,BaristaSeq
0.883993425388597,0.714737376462322,SPACEL_MENDER,BaristaSeq
0.831477836801692,0.741595907807663,SPACEL_NicheCompass,BaristaSeq
0.803238304356552,0.734452789914825,SPACEL_PRECAST,BaristaSeq
0.842382295017362,0.753029991672394,SPACEL_Spado,BaristaSeq
0.866330781876262,0.752423623265821,SPACEL_SPIRAL,BaristaSeq
0.849297718139271,0.782346136721473,SPACEL_STAIG,BaristaSeq
0.839046158805544,0.744932255166201,SPACEL_STAligner,BaristaSeq
0.835809433097613,0.673416330886482,PASTE,STARMap
0.813529632566554,0.659249893071586,STalign,STARMap
0.294481611063609,2.05177256482611,Banksy,STARMap
0.579691930723244,1.38501223113288,CellCharter,STARMap
0.887285579654975,0.763778865176191,CN,STARMap
0.813266587262874,0.660609533117781,GraphST,STARMap
0.813529632566554,0.662511454862252,MENDER,STARMap
0.792366435700744,0.836252711695035,NicheCompass,STARMap
0.290426857966672,1.83278257645578,PRECAST,STARMap
0.328886344092674,2.28018731473225,Spado,STARMap
0.666206262445649,1.1182685945711,SPIRAL,STARMap
0.782035974823383,0.730419477956792,STAIG,STARMap
0.797629713214146,0.78222792496272,STAligner,STARMap
0.892402307805005,0.856041643132962,SPACEL_Banksy,STARMap
0.89136630688247,0.753039326074679,SPACEL_CellCharter,STARMap
0.898658398785737,0.832074404601111,SPACEL_CN,STARMap
0.811890626714926,0.664915629249578,SPACEL_GraphST,STARMap
0.893917698196385,0.854001230003635,SPACEL_MENDER,STARMap
0.893200920946402,0.777411493000388,SPACEL_NicheCompass,STARMap
0.90031409520515,0.808757711907872,SPACEL_PRECAST,STARMap
0.909361315294575,0.852268744664322,SPACEL_Spado,STARMap
0.896836343783804,0.755905234746604,SPACEL_SPIRAL,STARMap
0.902331902785986,0.811677183835796,SPACEL_STAIG,STARMap
0.888958727583121,0.862063963345727,SPACEL_STAligner,STARMap
