model,datasets,Platform,Modeltype,ARI,NMI,CHAOS,PAS,Time,Memory,CellCount,GeneCount,AllCount
GraphST,STARMap,Python,DL,0.219365251347056,0.274384929706173,0.0719689108026317,0.027892794827204,15.9786655902863,3313.15625,3190,166,529540
GraphSTwithPASTE,STARMap,Python,DL,0.318152978744496,0.399192881541409,0.0733308547062298,0.0454895815676508,NA,NA,3190,166,529540
MENDER,STARMap,Python,DL,0.200985619248851,0.215669564944883,0.165454935163351,0.719400716980501,33.7733671665192,1061.29296875,3190,166,529540
NicheCompass,STARMap,Python,DL,0.614220618517969,0.547046300345476,0.0760801849739027,0.0955231543876698,51.5137338638306,882.4765625,3190,166,529540
Spado,STARMap,R,Sta,0.824481923642446,0.78276958175001,0.0712763625463076,0.0109819238906348,53.3562259674072,79.4193725585938,3190,166,529540
Banksy,Mouse,R,Sta,0.50774350990507,0.585959282540752,0.0334013856877052,0.0869523614109195,88.6685161590576,651.378517150879,161384,254,40991536
CellCharter,Mouse,Python,DL,0.495633811874909,0.606659615399729,0.0319429949199859,0.131668878491647,1017.84845495224,4209.234375,161384,254,40991536
CN,Mouse,R,Sta,0.369800361521928,0.542046162630481,0.0295698020307454,0.0458512217202625,5.9342794418335,2292.89453125,161384,254,40991536
GraphST,Mouse,Python,DL,NA,NA,NA,NA,NA,NA,161384,254,40991536
GraphSTwithPASTE,Mouse,Python,DL,NA,NA,NA,NA,NA,NA,161384,254,40991536
MENDER,Mouse,Python,DL,0.480781790817444,0.632976695252476,0.0290884392057447,0.0337680199171442,3366.20110249519,5173.7734375,161384,254,40991536
NicheCompass,Mouse,Python,DL,0.59840690289528,0.671085600352607,0.0288823373229096,0.0340672302433458,2496.35322165489,3045.48046875,161384,254,40991536
Spado,Mouse,R,Sta,NA,NA,NA,NA,NA,NA,161384,254,40991536
