model,datasets,Platform,Modeltype,ARI,NMI,CHAOS,PAS,Time,Memory,CellCount,GeneCount,AllCount,dASW,dLISI,ILL,bASW,iLISI,GC,slices_count
STAligner,BaristaSeq,Python,DL,0.552782270368363,0.582394195679525,0.0547756204876695,0.116871439520515,28.1222767829895,3333.87890625,5257,79,415303,0.526672316715121,0.960703778266907,0.5309554,0.8993767,0.380310654640198,0.916250290523182,3
Banksy,DLPFC_sample1,R,Sta,0.45817296524506,0.561121521376783,0.0605878432195714,0.176728374228494,62.260370016098,552.755798339844,17985,33538,603180930,0.484951941296458,0.852540095647176,0.4771994,0.94937885,0.505039771397909,0.845405980079855,4
CellCharter,DLPFC_sample1,Python,DL,0.386768835618491,0.570861048754766,0.055567817023778,0.0380599124157551,539.268182992935,5966.08984375,17985,33538,603180930,0.534137547016144,0.961476465066274,0.5437986,0.93965703,0.348551432291667,0.967720267758681,4
CN,DLPFC_sample1,R,Sta,0.36948858420992,0.516761257069885,0.0560279204105492,0.0777485317120493,0.620136260986328,3446.421875,17985,33538,603180930,0.507480307947844,0.87877881526947,0.5061007,0.9569157,0.667464733123779,0.532501704680445,4
GraphST,DLPFC_sample1,Python,DL,-0.000786559813862875,0.042095139964165,0.0559368873478191,0.0314833906132967,249.831322908401,18777.2265625,17985,33538,603180930,0.482026394456625,0.709400614102682,0.48159474,0.94907755,0.720804611841838,0.383490340190757,4
GraphSTwithPASTE,DLPFC_sample1,Python,DL,0.0934756357431056,0.210375842190679,0.0555545163983872,0.0386774017394772,NA,NA,17985,33538,603180930,0.488910122774541,0.758450865745544,0.48171896,0.9616323,0.74203888575236,0.565930807346385,4
MENDER,DLPFC_sample1,Python,DL,0.200310226433417,0.377607313056171,0.0555003447460215,0.0151262843719084,99.1387844085693,6013.18359375,17985,33538,603180930,0.541489992290735,0.981706341107686,0.5571992,0.9337052,0.238190054893494,0.976490790360384,4
NicheCompass,DLPFC_sample1,Python,DL,NA,NA,NA,NA,NA,NA,17985,33538,603180930,NA,NA,NA,NA,NA,NA,4
PRECAST,DLPFC_sample1,R,Sta,0.325524113865474,0.4369309979739,0.0598167333151106,0.0779489939356617,877.194571733475,291.893508911133,17985,33538,603180930,0.509247467853129,0.812981049219767,0.5116384,0.8198535,0.750648180643717,0.576127538233257,4
Spado,DLPFC_sample1,R,Sta,0.36481098767047,0.533933613316467,0.0552531848091627,0.0316447585002194,1671.49012494087,2475.4418182373,17985,33538,603180930,0.529116148129106,0.969221313794454,0.55602676,0.8837486,0.284374157587687,0.965157482306673,4
SPIRAL,DLPFC_sample1,Python,DL,0.451573076866783,0.57594001146574,0.0574622404131355,0.133845030803329,13554.64,9364.25,17985,33538,603180930,0.537192203104496,0.936254521210988,0.5442702,0.95445204,0.631957769393921,0.848406425361157,4
STAIG,DLPFC_sample1,Python,DL,0.41103889968129,0.578505665466113,0.0564469866601454,0.0869492137395521,15072.2581672668,39601.59765625,17985,33538,603180930,0.567682109773159,0.941833337148031,0.5986106,0.8633752,0.673336426417033,0.92435847481394,4
STAligner,DLPFC_sample1,Python,DL,0.385374877106717,0.576605148238617,0.0552850823233838,0.0290005240302096,166.597255706787,5502.17578125,17985,33538,603180930,0.55107244476676,0.979607482751211,0.55424076,0.8501593,0.385697603225708,0.989933142766133,4
Banksy,DLPFC_sample2,R,Sta,0.508862846886854,0.593970209936558,0.0616781383487478,0.0576767937439134,52.2195370197296,464.303504943848,15101,33538,506457338,0.469550639390945,0.73332291841507,0.47336578,0.93336314,0.518094380696615,0.874554610452283,4
CellCharter,DLPFC_sample2,Python,DL,0.46313932854424,0.553449820786561,0.0600524144588653,0.0326283119445271,507.534152984619,5497.0703125,15101,33538,506457338,0.528624717146158,0.981892973184586,0.53876364,0.96224344,0.547800938288371,0.944068467174939,4
CN,DLPFC_sample2,R,Sta,0.560702116126769,0.594510896528381,0.0605826525525111,0.035231852707802,0.508064985275269,3063.16015625,15101,33538,506457338,0.485900153405964,0.878169447183609,0.4960763,0.9576539,0.67678435643514,0.649689109858374,4
GraphST,DLPFC_sample2,Python,DL,0.5939207965813,0.462449353949447,0.0607036891698485,0.0489311633236617,188.619098901749,15376.1640625,15101,33538,506457338,0.493965917732567,0.821767270565033,0.50560474,0.9311703,0.717518885930379,0.575520653683673,4
GraphSTwithPASTE,DLPFC_sample2,Python,DL,0.555046986235808,0.524795007694791,0.0598522026890767,0.0182056964835955,NA,NA,15101,33538,506457338,0.500060054895584,0.851762145757675,0.508008,0.9672893,0.766470670700073,0.724197568303937,4
MENDER,DLPFC_sample2,Python,DL,0.349034533892255,0.466994584494504,0.0604572895647994,0.0102489555593246,26.677973985672,5213.34375,15101,33538,506457338,0.574562430381775,0.99999988079071,0.58272344,0.94972944,0.265969077746073,0.977327180624184,4
NicheCompass,DLPFC_sample2,Python,DL,NA,NA,NA,NA,NA,NA,15101,33538,506457338,NA,NA,NA,NA,NA,NA,4
PRECAST,DLPFC_sample2,R,Sta,0.516372691053915,0.546301974017503,0.0637308815348366,0.0400953414881764,252.00515627861,246.103309631348,15101,33538,506457338,0.584022849798203,0.941171228885651,0.5611836,0.8669696,0.738266150156657,0.719363821472277,4
Spado,DLPFC_sample2,R,Sta,0.462633767038655,0.549903273984667,0.0599004064469074,0.0182316197541873,1036.73751544952,1745.89366149902,15101,33538,506457338,0.574514843523502,0.998827457427979,0.5963298,0.88148135,0.326080481211344,0.928031974780935,4
SPIRAL,DLPFC_sample2,Python,DL,0.468130051960803,0.557734603512599,0.0618959770760181,0.101868474141149,7591.8,8382.44,15101,33538,506457338,0.578110918402672,0.980596154928207,0.57036155,0.943344,0.701224009195964,0.869810337409876,4
STAIG,DLPFC_sample2,Python,DL,0.319653098953953,0.490289996924321,0.0606315582195983,0.0648871137909593,11226.1129066944,28891.16796875,15101,33538,506457338,0.598092809319496,0.982464790344238,0.5844475,0.8600868,0.606341520945231,0.949093105115746,4
STAligner,DLPFC_sample2,Python,DL,0.488125353768242,0.556047844390709,0.0598693634362344,0.0169198299469759,141.015358448029,4998.984375,15101,33538,506457338,0.553051274269819,0.995543241500854,0.5572437,0.88425887,0.49386461575826,0.975272856844594,4
Banksy,DLPFC_sample3,R,Sta,0.588084411931735,0.644478846832829,0.0637691063585316,0.0521797307599594,36.3323504924774,437.988433837891,14243,33538,477681734,0.483045436441898,0.901388545831045,0.4772319,0.95698124,0.311442812283834,0.983351340016024,4
CellCharter,DLPFC_sample3,Python,DL,0.414814824595751,0.568097768029352,0.0615001940052634,0.0305238443419386,448.701041221619,5308.08984375,14243,33538,477681734,0.536516550928354,0.965261777242025,0.5403808,0.97153056,0.58209220568339,0.932075243018189,4
CN,DLPFC_sample3,R,Sta,0.374307551896031,0.532833828875972,0.0613192445638399,0.0510012257001513,0.689832210540771,2952.28125,14243,33538,477681734,0.521016653627157,0.882232050100962,0.51885736,0.9458684,0.578602393468221,0.665730883760438,4
GraphST,DLPFC_sample3,Python,DL,0.2309347962075,0.377455771446669,0.0611796206421865,0.0379513193886137,1629.97983574867,13855.96875,14243,33538,477681734,0.470209678635001,0.80160137017568,0.47594574,0.93947345,0.70034646987915,0.622665437933107,4
GraphSTwithPASTE,DLPFC_sample3,Python,DL,0.365913227855746,0.55356902835562,0.0610449048411385,0.0325212629890272,NA,NA,14243,33538,477681734,0.492837554775178,0.882557193438212,0.4979895,0.96138984,0.835673888524373,0.694469595243909,4
MENDER,DLPFC_sample3,Python,DL,0.267159036971133,0.417726128311669,0.0617565174812076,0.00839705120280247,56.1055114269257,4541.5234375,14243,33538,477681734,0.559463497251272,0.983503739039103,0.562862,0.93789244,0.250432133674622,0.982731514514043,4
NicheCompass,DLPFC_sample3,Python,DL,NA,NA,NA,NA,NA,NA,14243,33538,477681734,NA,NA,NA,NA,NA,NA,4
PRECAST,DLPFC_sample3,R,Sta,0.434914485164869,0.541055722088157,0.0653488781315964,0.0762692986500818,217.40013718605,232.779502868652,14243,33538,477681734,0.540087725967169,0.879570881525675,0.54745674,0.8717925,0.753901163736979,0.698536637443894,4
Spado,DLPFC_sample3,R,Sta,0.456059774082494,0.589522271541408,0.0609379352124473,0.0294396575127632,1085.59899568558,1554.28224945068,14243,33538,477681734,0.563250571489334,0.986712555090586,0.57170147,0.8842448,0.296305259068807,0.951939814413449,4
SPIRAL,DLPFC_sample3,Python,DL,0.47737364706775,0.612707269586179,0.0637055707421668,0.137500019492577,6679.89,8099.05,14243,33538,477681734,0.553191989660263,0.953278919061025,0.5532692,0.95044136,0.586243232091268,0.850241861747644,4
STAIG,DLPFC_sample3,Python,DL,0.549178533638906,0.666758803707761,0.0613834473160253,0.0624084668334826,10151.4705693722,26010.4140625,14243,33538,477681734,0.619189940392971,0.965727289517721,0.6348381,0.89499915,0.692216316858927,0.936180722363948,4
STAligner,DLPFC_sample3,Python,DL,0.603810193368649,0.683703670843857,0.0609855496483881,0.0218449819623572,136.803379058838,4930.6953125,14243,33538,477681734,0.56282877177,0.983386556307475,0.5729274,0.8838553,0.529715140660604,0.987784082072202,4
Banksy,MERFISH,R,Sta,0.466895224753128,0.537640555817229,0.0300494785251085,0.0584012803961626,23.1200866699219,72.565788269043,28317,155,4389135,0.497496873373166,0.881275142942156,0.5024801,0.9599898,0.346766114234924,0.981606280604836,5
CellCharter,MERFISH,Python,DL,0.396041012532211,0.539336221496812,0.0309193202727329,0.0845861258490339,853.017982006073,3457.69140625,28317,155,4389135,0.541309647262096,0.96003908770425,0.5604998,0.9656408,0.516654253005981,0.936438307795976,5
CN,MERFISH,R,Sta,0.1332753900091,0.254157342355509,0.0357034423563521,0.344148004684509,0.5533127784729,538.5546875,28317,155,4389135,0.494204634334892,0.849172524043492,0.5173161,0.9685322,0.647928237915039,0.498999779895812,5
GraphST,MERFISH,Python,DL,0.23944880524276,0.406369710535226,0.0286244800842897,0.0298345537683073,324.661397695541,28245.76171875,28317,155,4389135,0.50763401016593,0.89495291028704,0.5211009,0.9749278,0.284833014011383,0.982216338890307,5
GraphSTwithPASTE,MERFISH,Python,DL,0.233931459884951,0.374923027316137,0.0294811022445832,0.0504803049782087,NA,NA,28317,155,4389135,0.502298700623214,0.84773325920105,0.5121199,0.9805378,0.640558898448944,0.89198200156697,5
MENDER,MERFISH,Python,DL,0.232253721010186,0.305924609629466,0.0304020342602921,0.0788576692311943,249.971083402634,1044.4921875,28317,155,4389135,0.50376689969562,0.828771965844291,0.51991916,0.95416826,0.568119585514069,0.722182704625936,5
NicheCompass,MERFISH,Python,DL,0.508922630853254,0.557543249618948,0.0308252963488799,0.0942629030576467,837.026936531067,1137.41015625,28317,155,4389135,0.571877129375935,0.967020034790039,0.5966704,0.9309039,0.414030432701111,0.963296103095446,5
PRECAST,MERFISH,R,Sta,0.0820551239382013,0.174075449057324,0.0534088858782162,0.65608522632211,73.2961556911469,54.8451538085938,28317,155,4389135,0.479282822459936,0.715327296938215,0.51302016,0.91309893,0.688532888889313,0.430756618498882,5
Spado,MERFISH,R,Sta,0.194787668930145,0.31608083076522,0.0314970149936053,0.149114834997122,3655.43064284325,6128.03467559814,28317,155,4389135,0.517566084861755,0.851013762610299,0.543829,0.8977119,0.472581386566162,0.863472535705732,5
SPIRAL,MERFISH,Python,DL,0.230618528551493,0.290447675869704,0.0488618236725548,0.45223512189593,27924.84,4900.36,28317,155,4389135,0.5172736402601,0.841929571969169,0.53126556,0.9685243,0.641195952892303,0.684942125465218,5
STAIG,MERFISH,Python,DL,0.273147985771778,0.447070074517144,0.0327097779542073,0.169208009123428,20181.7547008991,83043.375,28317,155,4389135,0.507286690641195,0.924320118767875,0.5230063,0.9059681,0.518145561218262,0.931000182086094,5
STAligner,MERFISH,Python,DL,0.455156638507686,0.53627390196095,0.0313877373372994,0.0902285599615851,170.645600557327,8240.09375,28317,155,4389135,0.52334200963378,0.966035042490278,0.5546107,0.94376945,0.25296938419342,0.97204050233144,5
Banksy,MERFISH_Brain_S2,R,Sta,0.61797816979292,0.639107795724636,0.016744096110533,0.0637541457584863,35.5175752639771,238.290885925293,40484,374,15141016,0.484440201893449,0.94279602595738,0.4776449,0.94826996,0.584847331047058,0.949905824244834,2
CellCharter,MERFISH_Brain_S2,Python,DL,0.465367816484755,0.546012707054964,0.0188206368947699,0.254099574696856,742.282942533493,3633.9609375,40484,374,15141016,0.562894530594349,0.992792776652745,0.553656,0.966728,0.655380725860596,0.923435502705889,2
CN,MERFISH_Brain_S2,R,Sta,0.363617437615261,0.456588361789631,0.0168959327769496,0.223755306007959,0.692383050918579,622.26171875,40484,374,15141016,0.508561563678086,0.866203103746687,0.49809492,0.978415,0.813261747360229,0.41788527470304,2
GraphST,MERFISH_Brain_S2,Python,DL,0.464098959212754,0.583173193721585,0.0144084025028474,0.0451463890923595,578.277340650558,54177.21484375,40484,374,15141016,0.5119838276878,0.949408667428153,0.5128205,0.96895754,0.531127691268921,0.946994256492343,2
GraphSTwithPASTE,MERFISH_Brain_S2,Python,DL,0.140510564070244,0.317377848551052,0.0146579868100785,0.0708469430459391,NA,NA,40484,374,15141016,0.507916493341327,0.856039455958775,0.50194705,0.97457653,0.744913816452026,0.817006767872317,2
MENDER,MERFISH_Brain_S2,Python,DL,0.552776913640078,0.607741875403329,0.0150955315983019,0.0644601449679539,396.795398235321,1705.7734375,40484,374,15141016,0.575333192944527,0.951167055538722,0.547235,0.9568062,0.741355895996094,0.830397320322027,2
NicheCompass,MERFISH_Brain_S2,Python,DL,0.577334861103129,0.59068432729407,0.0155350968439069,0.0948459374278538,1068.99306249619,1565.7109375,40484,374,15141016,0.597923211753368,0.987908244132996,0.57470703,0.9305234,0.515925168991089,0.947998181948931,2
PRECAST,MERFISH_Brain_S2,R,Sta,0.185261759424472,0.236963151008167,0.0281398771269325,0.58657036938755,532.572999238968,142.745536804199,40484,374,15141016,0.493345836177468,0.769751140049526,0.4632616,0.94699633,0.833019018173218,0.348091156800994,2
Spado,MERFISH_Brain_S2,R,Sta,0.562315498736591,0.594904842499099,0.0147179981112924,0.0554898820539839,7418.45043587685,12519.3048400879,40484,374,15141016,0.629252091050148,0.970416000911168,0.59744203,0.89519125,0.637392997741699,0.900159100392281,2
SPIRAL,MERFISH_Brain_S2,Python,DL,0.230937618170849,0.225640025539063,0.0294890381874437,0.622931924714049,43929.74,10454.04,40484,374,15141016,0.520783234387636,0.867550458226885,0.5051978,0.9112531,0.106648802757263,0.528683075150177,2
STAIG,MERFISH_Brain_S2,Python,DL,0.401983101771455,0.488691875781359,0.0168678698733834,0.232038518226224,40906.1787102222,186215.48828125,40484,374,15141016,0.529607031494379,0.954831804547991,0.51417947,0.88473237,0.684272527694702,0.891590834203293,2
STAligner,MERFISH_Brain_S2,Python,DL,0.581134601112051,0.597868577692848,0.0160778991836147,0.118023149264578,159.972989797592,10365.7109375,40484,374,15141016,0.551186237484217,0.985428435461862,0.54156756,0.95158684,0.387736439704895,0.942853661164064,2
Banksy,MERFISH_Brain_S3,R,Sta,0.577087495540245,0.659641297683104,0.0185247938029564,0.123356369231604,34.7212829589844,208.208053588867,35347,374,13219778,0.508911632932723,0.959100246429443,0.49600014,0.95886415,0.680284738540649,0.958220174695478,2
CellCharter,MERFISH_Brain_S3,Python,DL,0.655603364016393,0.663119580637639,0.0168580431273612,0.0772440993062869,597.995925426483,3502.19921875,35347,374,13219778,0.571160241961479,0.998913151877267,0.56118023,0.97125405,0.819368362426758,0.930090801155413,2
CN,MERFISH_Brain_S3,R,Sta,0.370564777203161,0.515151955278296,0.0172393660400007,0.171304849001862,0.663968563079834,606.18359375,35347,374,13219778,0.521493094041944,0.918716635022845,0.5080707,0.9738196,0.871516108512878,0.432137280974352,2
GraphST,MERFISH_Brain_S3,Python,DL,0.538037391851304,0.642977043968054,0.0151068080000618,0.0257888069136575,475.506188869476,42202.8984375,35347,374,13219778,0.539215911179781,0.979203275271824,0.53186226,0.9633611,0.619471788406372,0.943331376386153,2
GraphSTwithPASTE,MERFISH_Brain_S3,Python,DL,0.497803093075253,0.576475057382678,0.0152318137547009,0.0445624303580429,NA,NA,35347,374,13219778,0.535030767321587,0.944582990237645,0.5238489,0.9812504,0.812132120132446,0.905082256253893,2
MENDER,MERFISH_Brain_S3,Python,DL,0.564334793658675,0.598000609292084,0.0157348415205375,0.0554747333779124,426.781257867813,1163.79296875,35347,374,13219778,0.572971850633621,0.949303882462638,0.5507958,0.9598832,0.796098470687866,0.826775268397634,2
NicheCompass,MERFISH_Brain_S3,Python,DL,0.746757800407349,0.72510909936922,0.0156537338955326,0.0456291313257136,1023.44589805603,1259.265625,35347,374,13219778,0.642602473497391,0.998327612876892,0.62189436,0.92998034,0.718021273612976,0.957156615552517,2
PRECAST,MERFISH_Brain_S3,R,Sta,0.285109396834918,0.28672841485907,0.0295655430054347,0.568605493444693,523.709863185883,125.745208740234,35347,374,13219778,0.51025786716491,0.863233430044992,0.48748967,0.9531298,0.889013648033142,0.404982860462688,2
Spado,MERFISH_Brain_S3,R,Sta,0.425542704120816,0.559530923123313,0.0155514560779978,0.0477117687977185,5670.88610816002,9545.51831054688,35347,374,13219778,0.636648282408714,0.966085076332092,0.60891205,0.9036691,0.729326128959656,0.869913235023363,2
SPIRAL,MERFISH_Brain_S3,Python,DL,0.286363654160291,0.318732962605164,0.0269055350695413,0.549242330392972,39598.8,8702.89,35347,374,13219778,0.540585037320852,0.933124235698155,0.5203936,0.8597324,0.012155294418335,0.591192487908798,2
STAIG,MERFISH_Brain_S3,Python,DL,0.506902473135654,0.577106332978025,0.0172004672723163,0.161931110670213,31979.5562317371,141128.55078125,35347,374,13219778,0.554860111325979,0.987007328442165,0.53686154,0.89809835,0.79564368724823,0.913325777771307,2
STAligner,MERFISH_Brain_S3,Python,DL,0.518754880914371,0.628055359681283,0.0167224680565391,0.117948843064726,126.021171808243,8606.84765625,35347,374,13219778,0.56923022121191,0.996115752628871,0.558249,0.95362216,0.531567811965942,0.939888232601118,2
Banksy,MERFISH_Brain_S4,R,Sta,0.677751454411391,0.65115923747207,0.0246168636881387,0.0905831675004799,26.6527128219604,185.697135925293,31508,374,11783992,0.50326218130067,0.944169657570975,0.5024533,0.92976743,0.419771194458008,0.934988687251212,3
CellCharter,MERFISH_Brain_S4,Python,DL,0.567746300117152,0.557043489357651,0.0243369012219811,0.198301035607885,750.490130186081,3560.8515625,31508,374,11783992,0.544985335320234,0.99529048374721,0.5408758,0.94251937,0.477797985076904,0.906203426359173,3
CN,MERFISH_Brain_S4,R,Sta,0.34705854997469,0.454493132083787,0.0239236002377552,0.237894498207386,0.621550798416138,590.67578125,31508,374,11783992,0.501533562783152,0.873383930751256,0.49878186,0.9724376,0.576204538345337,0.349857358507312,3
GraphST,MERFISH_Brain_S4,Python,DL,0.380106282225825,0.503257348471238,0.0203159215768366,0.0255076787177329,401.946683168411,34356.41015625,31508,374,11783992,0.494229455478489,0.952112640653338,0.5055027,0.9270898,0.387622952461243,0.939946063111684,3
GraphSTwithPASTE,MERFISH_Brain_S4,Python,DL,0.109401899790562,0.202573799220239,0.0215603377543957,0.0787275120862937,NA,NA,31508,374,11783992,0.477339074015617,0.81968549319676,0.4867378,0.97205377,0.717113494873047,0.698417304502992,3
MENDER,MERFISH_Brain_S4,Python,DL,0.53858185316248,0.597519061863337,0.0218111310856301,0.0700730139956748,383.492833375931,1547.37890625,31508,374,11783992,0.568792574107647,0.966767396245684,0.5426494,0.9649125,0.615102171897888,0.756298307623985,3
NicheCompass,MERFISH_Brain_S4,Python,DL,0.46187531048343,0.534861653101123,0.0224386073661021,0.103009784469018,949.524288654327,1196.54296875,31508,374,11783992,0.539269186556339,0.98640615599496,0.5435347,0.87880355,0.438793063163757,0.932299388669787,3
PRECAST,MERFISH_Brain_S4,R,Sta,0.160572902533095,0.225456815877493,0.0414309363232149,0.592486002437638,315.739683389664,112.548492431641,31508,374,11783992,0.465328335762024,0.765331268310547,0.46779144,0.92485464,0.72114634513855,0.36702548079651,3
Spado,MERFISH_Brain_S4,R,Sta,0.573841270520406,0.596234646605742,0.0209325843503293,0.0477969441719787,4491.4659101963,7586.0384979248,31508,374,11783992,0.60652718693018,0.977392435073853,0.58744913,0.89264023,0.489093422889709,0.936136292316136,3
SPIRAL,MERFISH_Brain_S4,Python,DL,0.202326928416502,0.194503723359773,0.042327849899209,0.615687661305104,27649.5,6313.75,31508,374,11783992,0.517542021349072,0.890363642147609,0.50627726,0.9612134,0.567012429237366,0.522639568638803,3
STAIG,MERFISH_Brain_S4,Python,DL,0.334621077813591,0.462849800194316,0.0238740678932929,0.205669198956987,23137.0577876568,107026.1015625,31508,374,11783992,0.4841771684587,0.942847490310669,0.48253074,0.84176767,0.516946077346802,0.777293298852049,3
STAligner,MERFISH_Brain_S4,Python,DL,0.528076081132669,0.619764997034909,0.0232700468110834,0.147989793787268,131.922840356827,7871.6015625,31508,374,11783992,0.522032245993614,0.984563418797084,0.52705383,0.94868994,0.392071485519409,0.867249916300974,3
Banksy,MERFISH_Brain_S5,R,Sta,0.47300846754971,0.565029691368585,0.0271487530947402,0.23139727772637,30.0884146690369,173.192428588867,29371,374,10984754,0.501988454256207,0.938203760555812,0.4716756,0.9427496,0.457172513008118,0.934188349891415,3
CellCharter,MERFISH_Brain_S5,Python,DL,0.495571824503843,0.565935337036262,0.0236818094642181,0.141043052156576,766.405633687973,3559.88671875,29371,374,10984754,0.55625880882144,0.987167239189148,0.54421395,0.96538866,0.501080989837646,0.913733998016397,3
CN,MERFISH_Brain_S5,R,Sta,0.313049055155674,0.438005331003694,0.0247119928338473,0.234270124657443,0.502975702285767,582.09375,29371,374,10984754,0.507098224014044,0.86144597189767,0.48328462,0.979427,0.639669299125671,0.414000703644762,3
GraphST,MERFISH_Brain_S5,Python,DL,0.374642804337183,0.5296302444309,0.021026605857931,0.0394947630608208,594.556632757187,30378.52734375,29371,374,10984754,0.511054881848395,0.939092346600124,0.536689,0.94198036,0.404089391231537,0.923364923283588,3
GraphSTwithPASTE,MERFISH_Brain_S5,Python,DL,0.164338415529695,0.2698835511848,0.0217190107488178,0.0569574098797746,NA,NA,29371,374,10984754,0.508691307157278,0.848941837038313,0.49059352,0.97134614,0.728588938713074,0.785599099520267,3
MENDER,MERFISH_Brain_S5,Python,DL,0.449249182522345,0.559566830188077,0.0233665178511083,0.117851086564858,329.107380390167,1526.2421875,29371,374,10984754,0.565133340656757,0.972011242594038,0.52954674,0.9690186,0.589165329933167,0.753742571730546,3
NicheCompass,MERFISH_Brain_S5,Python,DL,0.473450038272325,0.531263043383726,0.022958363101417,0.103775471061638,838.766307353973,1174.4609375,29371,374,10984754,0.572244696319103,0.976390634264265,0.51958567,0.9035655,0.467499673366547,0.909849897454074,3
PRECAST,MERFISH_Brain_S5,R,Sta,0.158084142168981,0.227865867718921,0.0409727467755453,0.649758312721203,264.29257440567,105.190872192383,29371,374,10984754,0.473025098443031,0.801944868905204,0.38407853,0.9439299,0.728534817695618,0.381991014308472,3
Spado,MERFISH_Brain_S5,R,Sta,0.497600603850422,0.576353458034845,0.0216922176958239,0.0646573066043446,3901.17802715302,6592.71632385254,29371,374,10984754,0.615570239722729,0.965308853558132,0.5818126,0.91492474,0.481032431125641,0.912498829509073,3
SPIRAL,MERFISH_Brain_S5,Python,DL,0.133190690787093,0.172348435634846,0.0434178763595723,0.652819758658484,25951.9,5968.4,29371,374,10984754,0.523182040080428,0.874155793871198,0.48194185,0.9707135,0.593889117240906,0.533950433605201,3
STAIG,MERFISH_Brain_S5,Python,DL,0.405694907497126,0.484428795142263,0.0245691430696346,0.202704964479601,21111.8536291122,93209.98828125,29371,374,10984754,0.560286939144135,0.959443586213248,0.52284163,0.8815577,0.506276607513428,0.866139887714873,3
STAligner,MERFISH_Brain_S5,Python,DL,0.438500656970018,0.568003940293924,0.0249585980344996,0.178210026559091,126.071686267853,7457.3046875,29371,374,10984754,0.5503269135952,0.979723794119699,0.5597912,0.9535454,0.372535228729248,0.919448870409764,3
Banksy,MERFISH_Brain_S6,R,Sta,0.595942819806097,0.645566212766649,0.0254591023155509,0.0650748225824237,27.4911487102509,152.895553588867,25907,374,9689218,0.512858907692134,0.924419386046273,0.5039069,0.96071756,0.541167616844177,0.935162497207471,3
CellCharter,MERFISH_Brain_S6,Python,DL,0.504370443503001,0.630120504220759,0.0221345448946389,0.037735666532209,1017.82994437218,3552.17578125,25907,374,9689218,0.559215184301138,0.991588422230312,0.5339616,0.96804714,0.606297969818115,0.904666804404613,3
CN,MERFISH_Brain_S6,R,Sta,0.327433375441029,0.459204378131996,0.0258659892715172,0.227475638398502,0.501384973526001,565.609375,25907,374,9689218,0.513232197612524,0.877316560064043,0.48079047,0.9793837,0.743667960166931,0.433436729101973,3
GraphST,MERFISH_Brain_S6,Python,DL,0.27179053615602,0.456630838292347,0.0215569289865839,0.0190474793840754,1216.63842463493,24480.78515625,25907,374,9689218,0.51689031906426,0.953491296086993,0.52725697,0.94398075,0.448050439357758,0.911855409392041,3
